本日零時到現在累積雨量                                                          
07-NOV-2020 00:00 ～ 07-NOV-2020 23:00                          
      2.0mm 銅鑼     苗栗縣銅鑼鄉                       
      2.0mm 指南里   臺北市文山區(大地工程處)            
      2.0mm 清水林道 花蓮縣卓溪鄉                       
      2.0mm 五指山   新北市汐止區                       
      1.5mm 福山植物 新北市烏來區                       
      1.5mm 清水斷崖 花蓮縣秀林鄉                       
      1.5mm 來義     屏東縣來義鄉(水保局)                
      1.5mm 國一S152 苗栗縣三義鄉(合作站)                
      1.5mm 梧棲     臺中市梧棲區(氣象站)                
      1.5mm 麥寮合作 雲林縣麥寮鄉(合作站)                
      1.5mm 舊莊里   臺北市南港區(大地工程處)            
      1.5mm 成功     臺東縣成功鎮(氣象站)                
      1.5mm 湖田國小 臺北市北投區(水利處)                
      1.5mm 山上     臺南市山上區                       
      1.5mm 南庄     苗栗縣南庄鄉                       
      1.5mm 中竹林   臺中市太平區                       
      1.5mm 有木國小 新北市三峽區(水保局)                
      1.5mm 舊泰武   屏東縣泰武鄉                       
      1.5mm 官田     臺南市官田區                       
      1.5mm 新港     嘉義縣新港鄉                       
      1.5mm 東引     連江縣東引鄉                       
      1.5mm 芳苑     彰化縣芳苑鄉                       
      1.5mm 南山     宜蘭縣大同鄉                       
      1.5mm 和中     花蓮縣秀林鄉                       
      1.5mm 外埔     臺中市外埔區                       
      1.5mm 大城     彰化縣大城鄉                       
      1.0mm 龍安     臺中市新社區                       
      1.0mm 桐林     臺中市霧峰區                       
      1.0mm 美濃     高雄市美濃區                       
      1.0mm 石門     桃園市龍潭區(石門水庫)              
      1.0mm 南湖     苗栗縣大湖鄉                       
      1.0mm 大內     臺南市大內區                       
      1.0mm 梅花     新竹縣尖石鄉                       
      1.0mm 慶福山   臺中市東勢區                       
      1.0mm 三峽     新北市三峽區(十河局)                
      1.0mm 觀音海岸 宜蘭縣南澳鄉                       
      1.0mm 石碇     新北市石碇區(十河局)                
      1.0mm 霞雲     桃園市復興區(石門水庫)              
      1.0mm 大豹     新北市三峽區(十河局)                
      1.0mm 和中     花蓮縣秀林鄉(水保局)                
      1.0mm 雲林分場 雲林縣斗南鎮(合作站)                
      1.0mm 造橋     苗栗縣造橋鄉                       
      1.0mm 苗栗     苗栗縣苗栗市                       
      1.0mm 苑裡     苗栗縣苑裡鎮                       
      1.0mm 福山     新北市烏來區(十河局)                
      1.0mm 草嶺(2)  雲林縣古坑鄉(第4河川局)             
      1.0mm 西巒     南投縣信義鄉(第4河川局)             
      1.0mm 福興     彰化縣福興鄉                       
      1.0mm 竹子湖   臺北市陽明山(十河局)                
      1.0mm 火炎山   苗栗縣三義鄉(水保局)                
      1.0mm 大埔     雲林縣古坑鄉(第5河川局)             
      1.0mm 馬都安   苗栗縣泰安鄉                       
      1.0mm 蘭嶼高中 臺東縣蘭嶼鄉                       
      1.0mm 埔鹽     彰化縣埔鹽鄉                       
      1.0mm 山興分校 花蓮縣鳳林鎮(水保局)                
      1.0mm 高鐵雲林 雲林縣虎尾鎮                       
      1.0mm 大湖(1)  苗栗縣大湖鄉(第2河川局)             
      1.0mm 華山國小 雲林縣古坑鄉(水保局)                
      1.0mm 頭汴     彰化縣鹿港鎮(第4河川局)             
      1.0mm 頭汴坑   臺中市太平區(第3河川局)             
      1.0mm 石梯坪   花蓮縣豐濱鄉(水保局)                
      1.0mm 口社     屏東縣三地門鄉                     
      1.0mm 大甲     臺中市大甲區                       
      1.0mm 大河     苗栗縣三灣鄉(第2河川局)             
      1.0mm 南勢山   苗栗縣後龍鎮(第2河川局)             
      1.0mm 金岳國小 宜蘭縣南澳鄉(水保局)                
      1.0mm 萬興(2)  彰化縣二林鎮(第4河川局)             
      1.0mm 旗山     高雄市旗山區                       
      1.0mm 清水     臺中市清水區                       
